                      wait rain_interval rain_heavy_interval snow_interval Income Population Pmoved pWhite pPoverty ADDDATE_hour
wait                 1.000         0.004               0.031        -0.030  0.011     -0.007 -0.019 -0.004   -0.006        0.033
rain_interval        0.004         1.000               0.486        -0.048 -0.002     -0.003  0.001 -0.001   -0.001       -0.005
rain_heavy_interval  0.031         0.486               1.000        -0.129 -0.003     -0.006 -0.005 -0.007   -0.001       -0.001
snow_interval       -0.030        -0.048              -0.129         1.000  0.000     -0.002 -0.003 -0.002   -0.005       -0.005
Income               0.011        -0.002              -0.003         0.000  1.000     -0.009  0.091  0.719   -0.670        0.027
Population          -0.007        -0.003              -0.006        -0.002 -0.009      1.000  0.068  0.049    0.109        0.001
Pmoved              -0.019         0.001              -0.005        -0.003  0.091      0.068  1.000  0.408   -0.050       -0.006
pWhite              -0.004        -0.001              -0.007        -0.002  0.719      0.049  0.408  1.000   -0.502        0.013
pPoverty            -0.006        -0.001              -0.001        -0.005 -0.670      0.109 -0.050 -0.502    1.000       -0.023
ADDDATE_hour         0.033        -0.005              -0.001        -0.005  0.027      0.001 -0.006  0.013   -0.023        1.000
